"SEXO";"EDAD";"ESTC";"NIVELEST";"SIT_LAB";"TIP_JOR";"ACTIV";"OCUPACION1";"OCUPACION2";"ING_HOG";"TIP_H";"TOT_MH";"TOTAL10_15";"TOT_MEN16";"TOT_MAY74";"TOT_16_64_T";"TOT_16_64_NT";"TOT_16_24_E";"INTEFOR1";"INTEFOR2";"SERV14_1";"SERV14_2";"SERV14_3";"SERV14_4";"SERV14_5";"SERV14_6";"SERV15_1";"SERV15_2";"SERV15_3";"SERV15_4";"SERV15_5";"SERV15_6";"SERV16_1";"SERV16_2";"SERV16_3";"SERV16_4";"SERV17_1";"SERV17_2";"SERV17_3";"ALMINT";"SERV18_1";"SERV18_2";"SERV18_3";"COMPRAS";"ULT_COM";"PROD1";"PROD2";"PROD3";"PROD4";"PROD5";"PROD6";"PROD7";"PROD8";"PROD9";"PROD10";"PROD11";"PROD12";"PROD13";"PROD14";"PROD15";"PROD16";"VENDPRIV";"VENDEDOR1";"VENDEDOR2";"VENDEDOR3";"VENDEDOR4";"NCOMPRAS";"VCOMPRAS";"NCOMPRAS_cont";"VCOMPRAS_cont"
6;61;1;7;6;NA;NA;NA;NA;6;1;1;0;0;0;0;1;0;1;1;1;1;1;1;6;1;1;6;6;1;1;6;1;1;6;1;6;6;6;1;6;6;6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;84;3;3;6;NA;NA;NA;NA;2;1;1;0;0;1;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;78;2;1;6;NA;NA;NA;NA;6;3;2;0;0;2;0;0;0;6;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;40;1;7;1;1;2;6;6;3;1;1;0;0;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;6;6;6;1;1;1;2;2;1;6;6;6;1;2;6;1;6;6;6;6;1;6;1;6;6;6;4;6;20;818
6;62;2;1;4;NA;NA;NA;NA;2;3;2;0;0;0;0;2;0;1;1;6;1;1;1;1;1;6;6;6;6;1;6;1;6;6;6;6;6;1;6;6;6;6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;84;2;1;6;NA;NA;NA;NA;2;3;2;0;0;2;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;59;1;8;1;1;9;6;6;5;1;1;0;0;0;1;0;0;1;6;1;1;6;1;1;1;6;6;1;1;6;6;6;6;6;6;6;1;6;6;1;6;6;1;2;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;2;6;NA;NA;NA;NA;NA;NA;NA;NA
6;57;2;3;4;NA;NA;NA;NA;6;3;2;0;0;0;0;2;0;6;1;6;1;6;1;6;1;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;55;5;5;2;1;9;6;6;1;2;3;0;0;0;1;2;0;1;1;1;1;1;1;1;6;1;1;1;1;6;6;6;1;6;6;6;1;6;6;1;6;6;1;1;2;6;6;6;6;6;6;2;6;6;2;6;6;6;6;6;6;NA;NA;NA;NA;1;1;1;21
1;64;2;2;6;NA;NA;NA;NA;6;3;2;0;0;0;0;2;0;1;1;1;6;1;1;1;1;1;6;6;6;1;6;6;6;6;6;6;1;6;1;6;6;6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;56;1;3;1;1;8;6;6;2;1;1;0;0;0;1;0;0;1;1;1;1;6;1;1;1;1;1;6;1;1;6;1;6;1;6;6;1;6;6;6;6;6;1;1;1;2;6;6;6;6;6;6;2;2;6;6;1;6;6;6;6;1;6;6;6;2;3;3;258
1;32;1;7;1;1;8;6;6;6;2;3;0;1;0;2;0;0;1;1;1;1;1;6;1;1;1;6;6;1;6;6;6;6;6;6;6;1;6;1;6;6;6;1;1;1;1;1;2;6;6;2;6;2;6;1;6;6;1;6;1;1;1;1;6;6;4;5;27;542
1;44;2;2;4;NA;NA;NA;NA;2;4;3;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;6;6;1;1;6;6;6;6;1;1;1;1;1;1;1;1;6;6;6;6;6;6;1;6;6;1;6;6;6;6;1;1;1;6;6;6;1;3;2;159
1;84;3;0;6;NA;NA;NA;NA;2;1;1;0;0;1;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;75;2;3;6;NA;NA;NA;NA;6;3;2;0;0;2;0;0;0;1;1;1;1;1;1;1;1;6;1;1;6;6;6;1;1;1;1;6;1;6;6;6;6;6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;16;1;2;5;NA;NA;NA;NA;5;4;3;0;0;0;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;6;6;1;6;6;6;6;6;1;1;6;1;1;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;21;1;5;5;NA;NA;NA;NA;6;2;2;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;6;6;6;6;6;1;1;6;1;6;1;1;1;1;1;6;6;6;6;6;6;6;6;1;6;6;6;6;6;6;6;1;6;6;6;2;3;4;278
6;76;2;3;9;NA;NA;NA;NA;3;3;2;0;0;2;0;0;0;1;1;1;6;6;1;1;1;6;6;6;1;6;6;6;6;6;6;6;6;6;6;6;6;6;1;1;6;6;6;6;6;6;6;6;6;6;6;1;6;1;6;6;6;1;6;6;6;2;8;5;NA
6;16;1;2;5;NA;NA;NA;NA;3;2;2;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;6;1;1;6;1;6;6;6;1;6;1;6;1;1;1;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;47;2;3;1;1;5;6;1;2;4;4;0;1;0;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;6;6;1;1;6;1;6;1;1;1;1;1;1;1;1;6;6;6;1;6;6;6;1;6;6;2;1;1;6;6;2;6;1;1;1;6;2;2;5;80
1;35;1;3;1;2;9;6;6;2;1;1;0;0;0;1;0;0;1;1;1;6;1;1;6;1;1;6;1;1;6;6;1;1;6;1;6;6;1;6;6;6;6;1;2;6;6;6;6;2;6;6;6;6;6;2;6;6;6;6;6;2;NA;NA;NA;NA;NA;NA;NA;NA
1;53;2;3;1;1;9;6;6;2;5;4;0;1;1;2;0;0;1;6;1;1;6;1;6;1;1;6;6;1;6;6;6;1;6;6;6;1;6;6;1;1;1;1;1;6;6;6;6;6;6;6;6;6;6;6;1;6;2;6;6;6;1;6;6;6;1;8;1;NA
6;65;3;1;7;NA;NA;NA;NA;1;2;2;0;0;0;1;0;0;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;26;1;3;4;NA;NA;NA;NA;1;4;3;0;0;0;1;2;0;1;6;6;6;1;1;1;6;1;1;6;1;1;6;1;6;6;6;6;6;1;1;6;6;6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;81;2;1;6;NA;NA;NA;NA;2;4;3;0;0;2;0;1;0;6;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;52;5;6;1;1;9;6;6;2;1;1;0;0;0;1;0;0;6;1;1;1;1;1;1;1;1;1;1;1;6;6;6;6;6;6;6;1;1;6;6;6;6;1;1;6;1;1;6;6;6;2;6;6;6;6;1;6;6;6;6;6;1;6;6;1;1;2;1;90
6;64;2;1;9;NA;NA;NA;NA;3;3;2;0;0;0;0;1;0;6;1;6;6;6;1;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;49;2;1;3;1;3;1;6;2;3;2;0;0;0;1;1;0;1;1;1;1;6;1;6;1;6;6;1;1;6;6;6;6;6;6;6;6;6;6;6;6;6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;40;2;3;2;1;9;6;6;5;4;3;0;1;0;2;0;0;1;1;1;1;1;1;1;1;1;1;1;1;6;6;1;1;6;6;1;1;6;1;6;1;1;1;1;1;1;1;2;6;6;2;2;2;6;1;6;1;6;6;1;6;1;1;1;6;4;7;26;1540
1;63;2;5;1;1;4;6;6;5;4;3;0;0;0;2;1;0;1;1;1;1;1;1;1;1;1;1;1;1;6;6;6;6;6;6;1;1;6;6;1;1;1;1;1;6;6;6;6;6;6;6;1;1;6;6;6;6;6;6;1;1;1;1;1;6;1;4;1;476
6;68;3;1;6;NA;NA;NA;NA;1;1;1;0;0;0;0;0;0;1;1;6;1;6;1;6;6;6;1;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;66;2;6;8;NA;NA;NA;NA;5;3;2;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;6;6;1;1;6;1;1;6;1;6;1;1;1;6;6;6;1;1;1;6;1;6;6;6;6;1;6;6;6;6;6;6;6;6;6;1;6;1;6;2;2;3;56
1;41;1;7;1;1;9;6;6;3;2;2;0;0;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;6;6;1;6;1;6;6;1;1;6;6;1;1;1;1;1;1;6;6;6;6;6;6;6;6;6;6;6;6;6;1;6;1;6;6;6;1;2;2;71
6;77;3;1;6;NA;NA;NA;NA;1;1;1;0;0;1;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;22;1;5;4;NA;NA;NA;NA;4;4;3;0;0;0;0;3;0;1;1;1;1;1;1;1;1;1;1;1;1;1;6;1;6;6;6;6;6;1;1;1;6;6;1;1;6;6;6;6;6;6;1;1;1;6;1;1;6;6;1;6;6;1;1;1;6;4;3;11;182
1;24;1;3;5;NA;NA;NA;NA;3;2;3;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;6;1;6;6;6;6;6;1;1;6;1;6;1;1;2;6;6;6;6;6;6;6;6;6;2;6;6;6;6;6;2;NA;NA;NA;NA;1;1;1;23
